channel,media_units,distribution,ci_hi,ci_lo,mean,channel_type,scaled_count_histogram,count_histogram,start_interval_histogram,end_interval_histogram
Google Paid Search,6756.248046875,posterior,0.79796666,0.56443554,0.68204266,media,,,,
Google Paid Search,6756.248046875,prior,0.9198287,0.5824331,0.7460523,media,,,,
Google Paid Search,6876.8955078125,posterior,0.8008051,0.5687819,0.6857789,media,,,,
Google Paid Search,6876.8955078125,prior,0.9211243,0.5867313,0.7492071,media,,,,
Google Paid Search,6997.54296875,posterior,0.80356485,0.57304233,0.6894269,media,,,,
Google Paid Search,6997.54296875,prior,0.92237866,0.590942,0.7522829,media,,,,
Google Paid Search,7118.18994140625,posterior,0.80624914,0.57721937,0.69299173,media,,,,
Google Paid Search,7118.18994140625,prior,0.92359376,0.59506774,0.75528353,media,,,,
Google Paid Search,7238.83740234375,posterior,0.80886114,0.5813156,0.696473,media,,,,
Google Paid Search,7238.83740234375,prior,0.9247714,0.599111,0.7582104,media,,,,
Google Paid Search,7359.48486328125,posterior,0.81140363,0.58533305,0.6998756,media,,,,
Google Paid Search,7359.48486328125,prior,0.9259133,0.60307443,0.76106703,media,,,,
Google Paid Search,7480.13232421875,posterior,0.8138794,0.58927435,0.70320314,media,,,,
Google Paid Search,7480.13232421875,prior,0.927021,0.6069602,0.7638565,media,,,,
Google Paid Search,7600.779296875,posterior,0.8162908,0.59314126,0.7064563,media,,,,
Google Paid Search,7600.779296875,prior,0.9280961,0.6107706,0.76658076,media,,,,
Google Paid Search,7721.4267578125,posterior,0.81864077,0.59693605,0.7096386,media,,,,
Google Paid Search,7721.4267578125,prior,0.92914003,0.61450785,0.76924145,media,,,,
Google Paid Search,7842.07421875,posterior,0.8209312,0.60066074,0.71275115,media,,,,
Google Paid Search,7842.07421875,prior,0.930154,0.618174,0.77184135,media,,,,
Google Paid Search,7962.72119140625,posterior,0.82316464,0.6043172,0.71579784,media,,,,
Google Paid Search,7962.72119140625,prior,0.9311394,0.62177116,0.77438307,media,,,,
Google Paid Search,8083.36865234375,posterior,0.825343,0.60790735,0.7187808,media,,,,
Google Paid Search,8083.36865234375,prior,0.93209743,0.62530106,0.776868,media,,,,
Google Paid Search,8204.015625,posterior,0.82746834,0.61143285,0.7217006,media,,,,
Google Paid Search,8204.015625,prior,0.93302906,0.62876576,0.7792975,media,,,,
Google Paid Search,8324.6630859375,posterior,0.82954264,0.6148957,0.7245594,media,,,,
Google Paid Search,8324.6630859375,prior,0.9339355,0.632167,0.7816747,media,,,,
