DATE_DAY,ALL_PURCHASES,ALL_PURCHASES_ORIGINAL_PRICE,REVENUE_PER_PURCHASE,GOOGLE_PAID_SEARCH_IMPRESSIONS,GOOGLE_SHOPPING_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_VIDEO_IMPRESSIONS,META_FACEBOOK_IMPRESSIONS,META_INSTAGRAM_IMPRESSIONS,GOOGLE_PAID_SEARCH_SPEND,GOOGLE_SHOPPING_SPEND,GOOGLE_PMAX_SPEND,GOOGLE_VIDEO_SPEND,META_FACEBOOK_SPEND,META_INSTAGRAM_SPEND,TREND,DOW_Friday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,YEAR_SIN_1,YEAR_COS_1,YEAR_SIN_2,YEAR_COS_2,BLACK_FRIDAY_PERIOD,LOG_ORGANIC_SEARCH_CLICKS,LOG_EMAIL_CLICKS,LOG_REFERRAL_CLICKS,LOG_ALL_OTHER_CLICKS,DATA_SPLIT
2020-12-15,158,21005.068656913,132.9434725121076,826.0,72069.0,0.0,0.0,246066.0,0.0,79.91,479.99,0.0,0.0,4025.229138153,0.0,0.018823529411764704,0,0,0,0,1,0,0.4012289854475009,0.9159777842484877,0.7350336741329412,0.6780306024735382,0,0.0,0.0,0.0,0.0,Train
2020-12-16,144,18153.299371341,126.06457896764583,757.0,69029.0,0.0,0.0,236380.0,0.0,76.63,575.37,0.0,0.0,4526.309721522,0.0,0.0196078431372549,0,0,0,0,0,1,0.4169258813287287,0.908940487313808,0.7579216274973472,0.6523456189565257,0,0.0,0.0,0.0,0.0,Train
2020-12-17,128,17001.999284802,132.82811941251563,563.0,68005.0,0.0,0.0,203267.0,0.0,45.02,480.377181709,0.0,0.0,4391.746841574,0.0,0.0203921568627451,0,0,0,1,0,0,0.4324994021339788,0.901634220265486,0.7799125224167177,0.6258885343075018,0,0.0,0.0,0.0,0.0,Train
2020-12-18,118,15195.993514164,128.77960605223728,386.0,75027.0,0.0,0.0,255525.0,0.0,34.28,579.589868143,0.0,0.0,5052.775767433,0.0,0.021176470588235293,1,0,0,0,0,0,0.44794493940789115,0.8940611451454876,0.8009803309782905,0.5986906625177214,0,0.0,0.0,0.0,0.0,Train
2020-12-19,111,14124.992536229,127.25218501107207,454.0,72711.0,0.0,0.0,175261.0,0.0,33.71,481.27,0.0,0.0,3463.971412261,0.0,0.02196078431372549,0,1,0,0,0,0,0.4632579225674917,0.88622350294858,0.8211001178128892,0.5707841943569036,0,0.0,0.0,0.0,0.0,Train
2020-12-20,91,9212.992787056,101.24167897863737,591.0,78625.0,0.0,0.0,110725.0,0.0,33.97,517.65,0.0,0.0,2221.587480805,0.0,0.022745098039215685,0,0,1,0,0,0,0.4784338202547012,0.8781236129591848,0.8402480696078469,0.5422021592729844,0,0.0,0.0,0.0,0.0,Train
2020-12-21,82,9162.018999054,111.73193901285366,362.0,74059.0,0.0,0.0,106110.0,0.0,17.73,425.38,0.0,0.0,1905.395572493,0.0,0.023529411764705882,0,0,0,0,0,0,0.49346814167723735,0.8697638720650646,0.8584015232918917,0.512978386299228,0,0.0,0.0,0.0,0.0,Train
2020-12-22,73,7472.002849252,102.35620341441096,487.0,72152.0,0.0,0.0,89034.0,0.0,34.0,451.89,0.0,0.0,1828.116817332,0.0,0.02431372549019608,0,0,0,0,1,0,0.5083564379375122,0.8611467540480452,0.8755389928586302,0.4831474640149687,0,0.0,0.0,0.0,0.0,Train
2020-12-23,45,4737.00708414,105.26682409200001,486.0,83795.0,0.0,0.0,68102.0,0.0,39.57,449.902549342,0.0,0.0,1391.135215794,0.0,0.025098039215686273,0,0,0,0,0,1,0.5230943033491326,0.8522748088519838,0.8916401947968874,0.45274469960737107,0,0.0,0.0,0.0,0.0,Train
2020-12-24,48,4580.999036469,95.4374799264375,560.0,75092.0,0.0,0.0,43962.0,0.0,45.28,433.399157516,0.0,0.0,906.873638669,0.0,0.02588235294117647,0,0,0,1,0,0,0.5376773767406141,0.8431506618282,0.9066860720977985,0.4218060770826634,0,0.0,0.0,0.0,0.0,Train
2020-12-25,59,6365.012955035,107.8815755090678,613.0,75551.0,0.0,0.0,31946.0,0.0,28.01,423.37,0.0,0.0,617.666248069,0.0,0.02666666666666667,1,0,0,0,0,0,0.5521013427459208,0.8337770129585915,0.9206588168102428,0.3903682146763026,0,0.0,0.0,0.0,0.0,Train
2020-12-26,70,5803.994683588,82.91420976554286,651.0,86531.0,0.0,0.0,116024.0,0.0,49.42,486.645251435,0.0,0.0,1760.563018442,0.0,0.027450980392156862,0,1,0,0,0,0,0.5663619330814524,0.8241566360566663,0.9335418911179212,0.35846832151248087,0,0.0,0.0,0.0,0.0,Train
2020-12-27,81,8194.007009465,101.16058036376543,717.0,98465.0,0.0,0.0,138304.0,0.0,50.5,549.75,0.0,0.0,2104.02737471,0.0,0.02823529411764706,0,0,1,0,0,0,0.580454927809098,0.8142923779467267,0.945320046913132,0.3261441535642696,0,0.0,0.0,0.0,0.0,Train
2020-12-28,75,6631.019900181,88.41359866908,676.0,78950.0,0.0,0.0,154871.0,0.0,42.2,367.16,0.0,0.0,2337.901283342,0.0,0.029019607843137254,0,0,0,0,0,0,0.5943761565849831,0.804187157621448,0.9559793438440766,0.2934339689665273,0,0.0,0.0,0.0,0.0,Train
2020-12-29,77,7267.995445991,94.38955124663637,712.0,79578.0,0.0,0.0,147689.0,0.0,69.37,382.48,0.0,0.0,2128.602667535,0.0,0.02980392156862745,0,0,0,0,1,0,0.6081214998935418,0.7938439653781019,0.9655071658143364,0.2603764827344581,0,0.0,0.0,0.0,0.0,Train
2020-12-30,76,7001.999329517,92.13157012522367,589.0,69406.0,0.0,0.0,137698.0,0.0,40.53,352.85,0.0,0.0,1802.09329395,0.0,0.03058823529411765,0,0,0,0,0,1,0.6216868902665479,0.7832658619336791,0.9738922359149924,0.22701082094141847,0,0.0,0.0,0.0,0.0,Train
2020-12-31,57,5229.995038099,91.75429891401755,474.0,56415.0,0.0,0.0,85686.0,0.0,42.51,241.453041098,0.0,0.0,1021.551182525,0.0,0.03137254901960784,0,0,0,1,0,0,0.6350683134867438,0.7724559775191742,0.981124629771712,0.19337647441020586,0,0.0,0.0,0.0,0.0,Train
2021-01-01,273,28659.994970231,104.98166655762272,561.0,50288.0,0.0,0.0,615100.0,0.0,21.69,280.149436952,0.0,0.0,4364.268519264,0.0,0.03215686274509804,1,0,0,0,0,0,0.6482618097757122,0.7614175109532997,0.9871957872910085,0.15951325197263655,0,0.0,0.0,0.0,0.0,Train
2021-01-02,167,17934.98201993,107.39510191574851,583.0,68617.0,0.0,0.0,481748.0,0.0,33.5,326.121578878,0.0,0.0,4180.017495713,0.0,0.03294117647058824,0,1,0,0,0,0,0.6612634749656386,0.7501537286959042,0.992098522791769,0.12546123335273648,0,0.0,0.0,0.0,0.0,Train
2021-01-03,158,16234.980225771,102.75303940361393,582.0,100734.0,0.0,0.0,571314.0,0.0,29.6,463.88,0.0,0.0,5044.736260119,0.0,0.03372549019607843,0,0,1,0,0,0,0.6740694616546161,0.7386679638813748,0.9958270335100595,0.09126072172931188,0,0.0,0.0,0.0,0.0,Train
2021-01-04,113,11285.015734566,99.86739588111506,771.0,90555.0,0.0,52.0,405818.0,0.0,56.64,390.99,0.0,0.47,3770.609245382,0.0,0.034509803921568626,0,0,0,0,0,0,0.6866759803451553,0.726963615332308,0.998376906467142,0.056952196034039754,0,0.0,0.0,0.0,0.0,Train
2021-01-05,101,10218.98599454,101.17807915386139,800.0,87702.0,0.0,17359.0,287919.0,0.0,54.79,415.24,0.0,599.47,2761.622705928,0.0,0.03529411764705882,0,0,0,0,1,0,0.6990793005655562,0.7150441465537444,0.9997451236925734,0.022576263041545485,0,0.0,0.0,0.0,0.0,Train
2021-01-06,103,10127.990686432,98.33000666438835,562.0,82004.0,0.0,11799.0,503369.0,0.0,37.21,354.381364713,0.0,321.96,3775.506208559,0.0,0.03607843137254902,0,0,0,0,0,1,0.7112757519738152,0.7029130847082615,0.9999300657962057,-0.011826390691832589,0,0.0,0.0,0.0,0.0,Train
2021-01-07,88,9075.991097027,103.1362624662159,521.0,81789.0,0.0,13121.0,325501.0,0.0,22.95,280.69,0.0,308.48,2569.979968306,0.0,0.03686274509803922,0,0,0,1,0,0,0.7232617254437388,0.6905740195722294,0.9989315138848577,-0.046215046983708354,0,0.0,0.0,0.0,0.0,Train
2021-01-08,86,9658.999683595,112.31394980924419,780.0,109473.0,0.0,12593.0,418342.0,0.0,46.89,375.58,0.0,298.35,3768.397302951,0.0,0.03764705882352941,1,0,0,0,0,0,0.7350336741329412,0.6780306024735382,0.9967506498213929,-0.08054900421874167,0,0.0,0.0,0.0,0.0,Train
2021-01-09,124,12902.99200385,104.05638712782259,1196.0,99359.0,0.0,11069.0,559963.0,0.0,78.07,429.453107384,0.0,357.68,4931.531638168,0.0,0.038431372549019606,0,1,0,0,0,0,0.746588114532413,0.6652865452111116,0.9933900548258936,-0.11478762552212701,0,0.0,0.0,0.0,0.0,Train
2021-01-10,126,12593.999559752,99.9523774583492,1527.0,104813.0,0.0,17724.0,503661.0,0.0,97.17,456.79,0.0,354.66,4213.128858656,0.0,0.0392156862745098,0,0,1,0,0,0,0.7579216274973472,0.6523456189565257,0.9888537064205885,-0.1488903868564548,0,0.0,0.0,0.0,0.0,Train
2021-01-11,94,7927.802251234,84.3383218216383,1130.0,116929.0,0.0,16987.0,354280.0,0.0,89.63,323.46,0.0,357.63,3235.487949288,0.0,0.04,0,0,0,0,0,0,0.7690308592589181,0.6392116531380588,0.9831469737221499,-0.1828169249850199,0,0.0,0.0,0.0,0.0,Train
2021-01-12,108,10038.009819542,92.94453536612963,1119.0,566291.0,0.0,15547.0,211275.0,0.0,99.7,485.44,0.0,341.78,1639.077531834,0.0,0.0407843137254902,0,0,0,0,1,0,0.7799125224167177,0.6258885343075018,0.9762766110869321,-0.21652708524481437,0,0.0,0.0,0.0,0.0,Train
2021-01-13,116,9776.489227736,84.28007954944827,1028.0,758514.0,0.0,14175.0,339531.0,0.0,58.09,559.61,0.0,293.17,3436.512114019,0.0,0.04156862745098039,0,0,0,0,0,1,0.7905633969115482,0.612380204990065,0.9682507501166718,-0.2499809690726521,0,0.0,0.0,0.0,0.0,Train
2021-01-14,79,7908.982591586,100.11370369096203,933.0,311101.0,0.0,9371.0,309272.0,0.0,70.57,376.89257617,0.0,292.72,3219.179039811,0.0,0.042352941176470586,0,0,0,1,0,0,0.8009803309782905,0.5986906625177214,0.9590788900341131,-0.28313898122818354,0,0.0,0.0,0.0,0.0,Train
2021-01-15,110,11162.111460889,101.47374055353636,1214.0,426561.0,0.0,3086.0,262173.0,0.0,90.143473704,466.2,0.0,102.31,3110.238706229,0.0,0.043137254901960784,1,0,0,0,0,0,0.8111602420785621,0.5848239578463322,0.9487718864399473,-0.31596187665790293,0,0.0,0.0,0.0,0.0,Train
2021-01-16,93,9146.999478501,98.3548331021613,1981.0,874063.0,0.0,0.0,269483.0,0.0,129.17743739,691.33,0.0,0.0,3343.692733768,0.0,0.04392156862745098,0,1,0,0,0,0,0.8211001178128892,0.5707841943569036,0.9373419384643772,-0.3484108069446808,0,0.0,0.0,0.0,0.0,Train
2021-01-17,120,11501.008518332,95.84173765276667,1509.0,489150.0,0.0,0.0,312207.0,0.0,90.418772841,710.640196754,0.0,0.0,3274.856312621,0.0,0.04470588235294118,0,0,1,0,0,0,0.8307970168121247,0.5565755266413303,0.9248025743285089,-0.38044736628785164,0,0.0,0.0,0.0,0.0,Train
2021-01-18,127,10971.001312156,86.38583710359056,1673.0,960928.0,0.0,0.0,358119.0,0.0,108.878963964,781.179661339,0.0,0.0,3120.141161895,0.0,0.04549019607843137,0,0,0,0,0,0,0.8402480696078469,0.5422021592729844,0.9111686353326631,-0.41203363695942635,0,0.0,0.0,0.0,0.0,Train
2021-01-19,116,10635.997484549,91.68963348749138,1786.0,996335.0,0.0,0.0,371627.0,0.0,150.769663069,1147.244819394,0.0,0.0,3283.60988378,0.0,0.04627450980392157,0,0,0,0,1,0,0.8494504794814806,0.527668345562516,0.8964562582905575,-0.44313223418263453,0,0.0,0.0,0.0,0.0,Train
